Country,Predicted Result,Predicted Lower,Predicted Upper
ARG,10,9,12
AUS,42,40,43
AUT,13,11,14
AZE,12,11,14
BAN,0,0,2
BHU,0,0,1
BRA,29,28,31
CAN,33,31,34
CHA,0,0,1
CHI,13,12,14
CHN,98,97,100
COL,11,9,12
CUB,21,19,22
CZE,17,15,18
DEN,16,14,17
EGY,20,19,22
ESA,0,0,2
ESP,27,25,28
EST,6,4,7
FIN,7,5,8
FRA,53,51,54
GBR,40,39,42
GER,32,31,34
GUI,0,0,2
INA,3,2,5
IND,15,13,16
IRI,12,10,13
ISR,11,10,12
ISV,0,0,2
ITA,46,44,47
JPN,65,64,67
KAZ,15,14,17
KOR,40,39,41
LUX,0,0,2
MAS,2,1,4
MDA,5,4,7
MEX,20,19,22
MGL,5,4,7
NED,33,31,34
POL,18,16,19
PUR,9,7,10
ROU,19,18,20
RSA,10,9,12
SLO,7,6,9
SMR,1,0,3
SVK,3,2,5
TPE,11,10,13
TUN,11,10,13
TUR,22,21,24
UKR,29,27,30
USA,175,174,177
UZB,21,19,22
VIE,3,1,4
AFG,0,0,1
ALB,1,0,3
ALG,11,10,13
AND,0,0,1
ANG,1,0,2
ANT,0,0,1
ARM,3,2,4
ASA,0,0,1
BAH,1,0,2
BAR,0,0,1
BDI,0,0,2
BEL,13,11,14
BEN,0,0,2
BER,0,0,2
BIH,0,0,1
BIZ,0,0,1
BOL,0,0,1
BOT,2,0,3
BRN,9,7,10
BRU,0,0,1
BUL,18,16,19
BUR,1,0,3
CAF,0,0,1
CAM,0,0,1
CAY,0,0,1
CGO,0,0,1
CIV,0,0,2
CMR,0,0,2
COD,0,0,2
COK,0,0,1
COM,0,0,1
CPV,1,0,2
CRC,0,0,1
CRO,18,16,19
CYP,2,1,4
DJI,0,0,2
DMA,3,2,5
DOM,9,8,11
ECU,8,7,10
EOR,6,5,8
ERI,0,0,2
ETH,1,0,3
FIJ,1,0,2
FSM,0,0,1
GAB,0,0,2
GAM,1,0,2
GBS,0,0,2
GEO,9,7,10
GEQ,0,0,1
GHA,0,0,1
GRE,16,15,18
GRN,1,0,3
GUA,3,2,4
GUM,0,0,1
GUY,0,0,1
HAI,0,0,2
HKG,6,5,8
HON,0,0,1
HUN,29,27,30
IRL,9,8,11
IRQ,0,0,2
ISL,0,0,1
IVB,0,0,1
JAM,1,0,2
JOR,1,0,3
KEN,2,0,3
KGZ,4,2,5
KIR,0,0,1
KOS,2,0,3
KSA,0,0,2
KUW,2,0,3
LAO,0,0,1
LAT,2,0,3
LBA,1,0,2
LBR,0,0,1
LCA,3,2,5
LES,0,0,1
LTU,5,3,6
MAD,1,0,2
MAR,8,6,9
MAW,0,0,1
MDV,0,0,1
MHL,0,0,1
MKD,1,0,2
MLI,0,0,2
MLT,0,0,2
MNE,0,0,2
MON,0,0,2
MOZ,0,0,2
MRI,1,0,2
MTN,0,0,1
NAM,0,0,1
NCA,1,0,2
NEP,1,0,2
NGR,4,3,6
NIG,1,0,2
NOR,19,17,20
NRU,0,0,1
NZL,21,20,23
OMA,0,0,1
PAK,4,3,6
PAN,1,0,3
PAR,1,0,2
PER,3,2,5
PHI,4,3,6
PLE,1,0,3
PLW,0,0,1
PNG,0,0,2
POR,5,4,7
PRK,3,1,4
QAT,2,0,3
RWA,0,0,2
SAM,1,0,3
SEN,1,0,3
SEY,0,0,1
SGP,4,2,5
SKN,0,0,1
SLE,0,0,1
SOL,0,0,1
SOM,0,0,1
SRB,15,14,17
SRI,0,0,2
SSD,0,0,1
STP,0,0,1
SUD,0,0,1
SUI,14,13,16
SUR,0,0,1
SWE,17,15,18
SWZ,0,0,1
SYR,0,0,2
TAN,0,0,2
TGA,0,0,1
THA,11,9,12
TJK,3,2,5
TKM,0,0,2
TLS,0,0,1
TOG,0,0,1
TTO,0,0,2
TUV,0,0,1
UAE,0,0,2
UGA,2,1,4
URU,1,0,3
VAN,0,0,2
VEN,8,6,9
VIN,0,0,1
YEM,0,0,2
ZAM,1,0,3
ZIM,0,0,2
MYA,0,0,1
LBN,0,0,2
AIN,3,2,5
ARU,0,0,1
